Subject,Relationship,Object
NCT00701935,involves,Type 2 Diabetes
NCT00701935,evaluates,Exenatide
NCT00701935,measures_primary,Percentage change in abdominal visceral fat
NCT00701935,measures_secondary,Percentage change in total abdominal fat
NCT00701935,measures_secondary,Percentage change in subcutaneous abdominal fat
NCT00701935,measures_secondary,Change in HbA1c from baseline to 6 months
NCT00701935,measures_secondary,Percentage of patients with HbA1c values <= 7.0% measured at 6 months
NCT00701935,measures_secondary,Change in Fasting plasma glucose
NCT00701935,measures_secondary,Change in weight
NCT00701935,measures_secondary,Change in Systolic blood pressure
NCT00701935,measures_secondary,Change in Diastolic blood pressure
NCT00701935,measures_secondary,Change in total cholesterol
NCT00701935,measures_secondary,Change in triglycerides
NCT00701935,measures_secondary,Change in HDL cholesterol
NCT00701935,measures_secondary,Event Rate of Treatment-Emergent Hypoglycemic Event
NCT00701935,has_criteria,Pretreated With Metformin
NCT05152563,involves,Eosinophilic Gastritis
NCT05152563,involves,Eosinophilic Duodenitis
NCT05152563,evaluates,AK002
NCT05152563,measures_primary,Proportion of Responders
NCT05152563,measures_secondary,Mean absolute change in TSS
NCT05152563,measures_secondary,Percent change in tissue eosinophils
NCT05152563,measures_secondary,Number of treatment responders
NCT05152563,measures_secondary,Proportion of subjects achieving mean eosinophil count
NCT05152563,measures_secondary,Proportion of subjects who show ≥50% reduction in TSS
NCT05152563,measures_secondary,Proportion of subjects who show ≥70% reduction in TSS
NCT05152563,measures_secondary,Change in weekly TSS
NCT05152563,has_criteria,≥18 and ≤80 years
NCT05152563,has_criteria,≥30 eosinophils/hpf in at least 5 hpf
NCT05152563,has_criteria,≥30 eosinophils/hpf in at least 3 hpf
NCT05152563,has_criteria,weekly average score of abdominal pain
NCT04770818,involves,Lateral Ankle Ligament Reconstruction
NCT04770818,evaluates,InternalBrace™ Augmentation
NCT04770818,measures_primary,Return to Work
NCT04770818,measures_secondary,Visual Analog Scale
NCT04770818,measures_secondary,Veterans Rand
NCT04770818,measures_secondary,Foot and Ankle Ability Measure
NCT04770818,has_criteria,Pre-operative
NCT00549718,involves,Acute Schizophrenia
NCT00549718,evaluates,Lurasidone HCl
NCT00549718,measures_primary,Change in PANSS Score
NCT00549718,measures_secondary,CGI-S From Baseline
NCT00549718,has_criteria,6 weeks
NCT00622713,involves,Alzheimer's Disease
NCT00622713,evaluates,Rivastigmine Patch
NCT00622713,measures_primary,patch tolerance
NCT00622713,measures_secondary,Clinical Global Impression
NCT00622713,measures_secondary,Instrumental Activities of Daily Living
NCT00622713,measures_secondary,Mini-Mental State Examination
NCT00622713,has_criteria,target patch size
NCT01651936,involves,Rheumatoid Arthritis
NCT01651936,evaluates,MK-8457
NCT01651936,measures_primary,DAS28-CRP at Week 12
NCT01651936,measures_secondary,ACR20 Response at Week 12
NCT01651936,has_criteria,Baseline and Week 12
NCT04462536,involves,Acute Ischemic Stroke
NCT04462536,evaluates,Nerinetide
NCT04462536,measures_primary,independent functioning
NCT04462536,measures_secondary,Mortality rate
NCT04462536,measures_secondary,Worsening of stroke
NCT04462536,has_criteria,Endovascular Thrombectomy
NCT04462536,has_criteria,Excluding Thrombolysis
NCT02856113,involves,Type 2 Diabetes
NCT02856113,evaluates,Alogliptin
NCT02856113,measures_primary,Change From Baseline in HbA1c
NCT02856113,measures_secondary,Clinically Significant Physical Examination Findings
NCT02856113,measures_secondary,Abnormal Vital Signs Values
NCT02856113,measures_secondary,Abnormal 12-lead ECG Findings
NCT02856113,measures_secondary,Treatment-emergent Adverse Events
NCT02856113,has_criteria,From Day 1 to end of treatment period
NCT02873936,involves,Rheumatoid Arthritis
NCT02873936,evaluates,Filgotinib
NCT02873936,measures_primary,ACR20 response
NCT02873936,measures_secondary,HAQ-DI score
NCT02873936,has_criteria,Inadequate response to DMARDs
NCT01391013,involves,HIV-1 infection
NCT01391013,evaluates,Darunavir/Ritonavir 800/100 mg
NCT01391013,evaluates,Triple Combination Therapy
NCT01391013,measures_primary,Change in FMD (%)
NCT01391013,measures_secondary,Circulating Endothelial Cells
NCT01391013,measures_secondary,Precursors of Circulating Endothelial Cells
NCT01391013,measures_secondary,Low-density Lipoprotein Cholesterol
NCT01391013,measures_secondary,High-density Lipoprotein Cholesterol
NCT01391013,measures_secondary,Triglycerides
NCT01391013,measures_secondary,Insulin Sensitivity
NCT01391013,has_criteria,HIV-RNA greater than or equal to 50 Copies/mL
NCT01393613,involves,Acute Schizophrenia
NCT01393613,evaluates,OPC-34712
NCT01393613,measures_primary,PANSS Total Score
NCT01393613,measures_secondary,CGI-S Score
NCT01393613,measures_secondary,PSP Score
NCT01393613,has_criteria,Baseline
NCT02531113,involves,Crohn's Disease
NCT02531113,evaluates,RPC1063
NCT02531113,measures_primary,SES-CD at Week 12
NCT02531113,measures_secondary,Treatment Emergent Adverse Events
NCT02531113,has_criteria,Treatment Emergent Adverse Events
NCT02975336,involves,Systemic Lupus Erythematosus
NCT02975336,evaluates,M2951
NCT02975336,measures_primary,SRI-4 response
NCT02975336,measures_secondary,SRI-6 response
NCT02975336,has_criteria,SLEDAI-2K score
NCT03605836,involves,Attention-deficit/Hyperactivity Disorder
NCT03605836,evaluates,Centanafadine Sustained-release Tablets
NCT03605836,measures_primary,Change From Baseline
NCT03605836,measures_secondary,Clinical Global Impression-Severity of Illness Scale
NCT03605836,has_criteria,DSM-5 criteria for ADHD
NCT00488618,involves,Acute Mania
NCT00488618,evaluates,Cariprazine
NCT00488618,measures_primary,Change From Baseline
NCT00488618,measures_secondary,Clinical Global Impression-Severity
NCT00488618,has_criteria,Baseline
NCT01636713,involves,COPD
NCT01636713,evaluates,GSK573719/GW642444
NCT01636713,measures_primary,Change From Baseline FEV1
NCT01636713,measures_secondary,Transition Dyspnea Index
NCT01636713,has_criteria,smoking status
NCT01562613,involves,Hypertension
NCT01562613,evaluates,Eprosartan
NCT01562613,measures_primary,BP levels achieved
NCT01562613,measures_secondary,Framingham Stroke Risk Profile Scores
NCT01562613,has_criteria,age
NCT01638013,involves,Rheumatoid Arthritis
NCT01638013,evaluates,ASP015K
NCT01638013,measures_primary,ACR20 response
NCT01638013,measures_secondary,ACR50-CRP response
NCT01638013,has_criteria,completed Phase IIb or III
NCT00663936,involves,Alzheimer's disease
NCT00663936,evaluates,T-817MA
NCT00663936,measures_primary,cognitive function
NCT00663936,measures_secondary,activities of daily living
NCT00663936,measures_secondary,global assessment
NCT00663936,has_criteria,Mild to moderate Alzheimer's disease
NCT00663936,has_criteria,receiving Donepezil
NCT00663936,has_criteria,Age 50 to 90
NCT00663936,has_criteria,living in the community
NCT00663936,has_criteria,eligible informant
NCT00663936,has_criteria,read and understand English
NCT00663936,has_criteria,clinically significant cardiac
NCT00663936,has_criteria,clinically significant hepatic
NCT00663936,has_criteria,clinically significant renal
NCT00663936,has_criteria,dementia not of Alzheimer's type
NCT00663936,has_criteria,taking donepezil
NCT00663936,has_criteria,taking drug other than donepezil
NCT03483636,involves,alcohol interaction
NCT03483636,evaluates,Lemborexant
NCT03483636,measures_primary,body sway
NCT03483636,measures_secondary,Power of Attention
NCT03483636,has_criteria,single-dose treatment period
NCT03393013,involves,systemic lupus erythematous
NCT03393013,involves,Lupus Nephritis
NCT03393013,evaluates,zetomipzomib
NCT03393013,measures_primary,treatment-related adverse event
NCT03393013,measures_secondary,UPCR reduction
NCT03393013,measures_secondary,Partial Renal Response
NCT03393013,has_criteria,adult patients
NCT06167213,involves,heart failure
NCT06167213,evaluates,SAPIEN X4 Transcatheter Heart Valve
NCT06167213,measures_primary,death or stroke
NCT06167213,measures_secondary,Kansas City Cardiomyopathy Questionnaire score
NCT06167213,measures_secondary,New York Heart Association functional class
NCT06167213,has_criteria,Inclusion Criteria
NCT03867318,involves,Coronary Heart Disease
NCT03867318,involves,Multiple Cardiovascular Risk Factors
NCT03867318,evaluates,Ezetimibe
NCT03867318,evaluates,Atorvastatin
NCT03867318,measures_primary,LDL-C levels
NCT03867318,measures_secondary,Adverse Event
NCT03867318,measures_secondary,Discontinuation
NCT03867318,has_criteria,Target LDL-C level
NCT02971618,involves,Type 2 Diabetes Mellitus
NCT02971618,evaluates,dapagliflozin
NCT02971618,measures_primary,HbA1c reduction
NCT02971618,measures_secondary,fasting blood glucose
NCT02971618,measures_secondary,body weight
NCT02971618,measures_secondary,systolic blood pressure
NCT02971618,measures_secondary,diastolic blood pressure
NCT02971618,has_criteria,age 18-65 years
NCT02971618,has_criteria,first prescription
NCT04349449,involves,Crohn's Disease
NCT04349449,evaluates,ENTYVIO
NCT04349449,measures_primary,HBI less than 5
NCT04349449,measures_secondary,Change From Baseline in HBI
NCT04349449,measures_secondary,Change From Baseline in PGA
NCT04349449,measures_secondary,Change From Baseline in PRO-2
NCT04349449,has_criteria,Bio-naive Patients
NCT01436149,involves,Major Depressive Disorder
NCT01436149,evaluates,SPD489
NCT01436149,measures_primary,MADRS total score
NCT01436149,measures_secondary,Sheehan Disability Scale
NCT01436149,has_criteria,Adults
NCT01709149,involves,Amyotrophic Lateral Sclerosis
NCT01709149,evaluates,CK-2017357
NCT01709149,measures_primary,ALSFRS-R Total Score
NCT01709149,measures_secondary,Maximum Voluntary Ventilation
NCT01709149,measures_secondary,Sniff Nasal Inspiratory Pressure
NCT01709149,measures_secondary,Slow Vital Capacity
NCT01709149,has_criteria,Baseline
NCT02989649,involves,diabetes mellitus
NCT02989649,evaluates,Alogliptin
NCT02989649,measures_primary,Change From Baseline in HbA1c Level at Month 6
NCT02989649,measures_secondary,Percentage of Participants With a Decrease in HbA1c Level by <7.0%
NCT02989649,measures_secondary,Percentage of Participants With a Decrease in HbA1c Level by >0.3% and No Tolerability Findings
NCT02989649,measures_secondary,Change From Baseline in Fasting Plasma Glucose (FPG) Level Over Time
NCT02989649,has_criteria,glycosylated hemoglobin (HbA1c) ≥6.5%
NCT00314249,involves,Fibromyalgia
NCT00314249,evaluates,Milnacipran
NCT00314249,measures_primary,Composite Syndrome Responder Status
NCT00314249,measures_secondary,Time-Weighted Average Pain Scores
NCT00314249,has_criteria,Stable dose treatment phase
NCT01364649,involves,Major Depressive Disorder With Sexual Dysfunction
NCT01364649,evaluates,Vortioxetine
NCT01364649,measures_primary,Change From Baseline
NCT01364649,measures_secondary,CSFQ-14 Total Score
NCT01364649,has_criteria,Baseline CSFQ-14 total score
NCT01087970,involves,Squamous Cell Head and Neck Cancer
NCT01087970,measures_primary,Progression-Free Survival
NCT01087970,measures_secondary,Overall Survival
NCT01087970,measures_secondary,Percentage of Participants Having a Confirmed Partial Response (PR) or Complete Response (CR)
NCT01087970,has_criteria,RECIST criteria version 1.0
NCT03682770,involves,Peanut Allergy
NCT03682770,evaluates,Dupilumab
NCT03682770,measures_primary,DBPCFC Pass Rate
NCT03682770,measures_secondary,Cumulative Tolerated Dose
NCT03682770,has_criteria,Post-randomization values
NCT02395042,involves,Interstitial Cystitis With Hunner's Lesions
NCT02395042,evaluates,LiRIS®
NCT02395042,measures_primary,Change From Baseline in Daily Average Bladder Pain
NCT02395042,measures_secondary,Change From Baseline in Number of Hunner's Lesions
NCT02395042,measures_secondary,Change From Baseline in Composite Score of Hunner's Lesions
NCT02395042,has_criteria,Diagnosis of interstitial cystitis with Hunner's lesions/ulcers
NCT02395042,has_criteria,Previous treatment with LiRIS®
NCT00357370,involves,Type 2 Diabetes
NCT00357370,evaluates,BMS-512148
NCT00357370,measures_primary,Adjusted Mean Change
NCT00357370,measures_secondary,Fasting Plasma Glucose
NCT00357370,measures_secondary,Therapeutic Glycemic Response
NCT00357370,has_criteria,insulin uptitration
NCT00644670,involves,Dyslipidemia
NCT00644670,involves,High cholesterol
NCT00644670,involves,Coronary heart disease
NCT00644670,evaluates,Atorvastatin
NCT00644670,measures_primary,LDL-C target
NCT00644670,measures_secondary,HDL-C
NCT00644670,measures_secondary,non-HDL-C
NCT00644670,measures_secondary,triglycerides
NCT00644670,measures_secondary,total cholesterol
NCT00644670,measures_secondary,apolipoprotein B
NCT00644670,measures_secondary,hemoglobin A1c
NCT00644670,has_criteria,Dyslipidemia
NCT00644670,has_criteria,High risk
NCT00644670,has_criteria,statin use
NCT00644670,has_criteria,Uncontrolled diabetes
NCT00644670,has_criteria,high blood pressure
NCT00644670,has_criteria,Impaired liver function
NCT02537470,involves,Type 2 Diabetes
NCT02537470,evaluates,Biphasic Remogliflozin Etabonate
NCT02537470,measures_primary,HbA1c at Week 12
NCT02537470,measures_secondary,Fasting plasma glucose
NCT02537470,measures_secondary,Insulin
NCT02537470,measures_secondary,C-peptide
NCT02537470,measures_secondary,Total Cholesterol
NCT02537470,measures_secondary,LDL-c
NCT02537470,measures_secondary,HDL-c
NCT02537470,measures_secondary,Serum Triglycerides
NCT02537470,measures_secondary,Body Weight
NCT02537470,measures_secondary,Waist Circumference
NCT02537470,measures_secondary,Adverse Events
NCT02537470,has_criteria,written informed consent
NCT02537470,has_criteria,clinical diagnosis type 2 diabetes
NCT02537470,has_criteria,HbA1c 7.0 - 10.5%
NCT02537470,has_criteria,history metabolic acidosis
NCT02537470,has_criteria,current active renal disease
NCT02537470,has_criteria,use investigational device or drug
NCT04867616,involves,Mild Cognitive Impairment
NCT04867616,involves,Alzheimer's Disease
NCT04867616,evaluates,Bepranemab
NCT04867616,measures_primary,CDR-SB total score
NCT04867616,measures_secondary,Incidence of TEAEs
NCT04867616,measures_secondary,Incidence of TESAEs
NCT04867616,has_criteria,From Baseline to Week 80
NCT05688696,involves,Systemic Lupus Erythematosus
NCT05688696,evaluates,Orelabrutinib
NCT05688696,measures_primary,SLE Responder Index
NCT05688696,measures_secondary,British Isles Lupus Assessment Group-based Composite Lupus Assessment
NCT05688696,measures_secondary,Time to 1st flare
NCT05688696,measures_secondary,Prednisone dose reduction
NCT05688696,measures_secondary,Complement C3
NCT05688696,measures_secondary,Complement C4
NCT05688696,measures_secondary,Anti-dsDNA antibody
NCT05688696,has_criteria,≥25% prednisone reduction
NCT05353816,involves,Heart Failure
NCT05353816,evaluates,Corheart 6 Left Ventricular Assist System
NCT05353816,measures_primary,Device implantation success
NCT05353816,measures_secondary,Functional status
NCT05353816,measures_secondary,Quality of Life
NCT05353816,has_criteria,3 months post-implantation
NCT03374475,involves,Major Depressive Disorder
NCT03374475,evaluates,JNJ-42847922
NCT03374475,measures_primary,Change From Baseline HDRS17
NCT03374475,measures_secondary,Change From Baseline HDRS17 Sleep Item-Adjusted Total Score
NCT03374475,measures_secondary,Change From Baseline HDRS17 Anxiety/Somatization Factor Score
NCT03374475,has_criteria,Baseline up to Day 57
NCT00409175,involves,Familial Amyloidosis
NCT00409175,evaluates,Fx-1006A
NCT00409175,measures_primary,NIS-LL score
NCT00409175,measures_secondary,QOL-DN TQOL Score
NCT00409175,has_criteria,Change From Baseline
NCT01135459,involves,Systemic Lupus Erythematosus
NCT01135459,evaluates,CEP-33457
NCT01135459,measures_primary,SRI response at Week 24
NCT01135459,measures_secondary,SLEDAI-2K score
NCT01135459,has_criteria,SLEDAI-2K score reduction
NCT00583375,involves,Foot and Ankle Fusion
NCT00583375,evaluates,Augment® Bone Graft
NCT00583375,measures_primary,Pain on Weight Bearing
NCT00583375,measures_secondary,Foot Function Index
NCT00583375,has_criteria,24 weeks
NCT01451775,evaluates,Empagliflozin
NCT01451775,measures_primary,Area Under the Curve
NCT01451775,measures_secondary,Maximum Measured Concentration
NCT01451775,has_criteria,Healthy male and female subjects
NCT01451775,has_criteria,Any relevant deviation from healthy conditions
NCT05181475,involves,Alzheimer's Disease
NCT05181475,evaluates,GV-971
NCT05181475,measures_primary,ADAS-cog/11 score
NCT05181475,measures_secondary,MMSE score
NCT05181475,measures_secondary,ADCS-ADL score
NCT05181475,has_criteria,Aged 50 to 85 years
NCT05181475,has_criteria,NIA-AA diagnostic criteria
NCT05181475,has_criteria,MMSE scores 11 to 26
NCT05181475,has_criteria,received GV-971 treatment
NCT00658775,involves,Erosive Gastroesophageal Reflux Disease
NCT00658775,evaluates,Rabeprazole Extended-Release
NCT00658775,evaluates,Esomeprazole
NCT00658775,measures_primary,Endoscopically-confirmed Healing
NCT00658775,measures_secondary,Diary-recorded Sustained Resolution of Heartburn
NCT00658775,has_criteria,Los Angeles classification
NCT00725075,involves,Schizophrenia
NCT00725075,evaluates,MK-8435
NCT00725075,measures_primary,Change From Baseline
NCT00725075,measures_secondary,Total Score PANSS
NCT00725075,measures_secondary,Calgary Depression Scale
NCT00725075,has_criteria,Baseline and Week 12
NCT01076959,involves,Rheumatoid Arthritis
NCT01076959,evaluates,Humira
NCT01076959,measures_primary,Patient Effectiveness
NCT01076959,measures_secondary,DAS 28
NCT01076959,has_criteria,EULAR response
NCT06052059,involves,Ulcerative Colitis
NCT06052059,evaluates,Tulisokibart
NCT06052059,measures_primary,Clinical Remission
NCT06052059,measures_secondary,Adverse Events
NCT06052059,has_criteria,Moderately to Severely Active
NCT02163759,involves,Ulcerative Colitis
NCT02163759,evaluates,Etrolizumab
NCT02163759,evaluates,Adalimumab
NCT02163759,evaluates,Placebo
NCT02163759,measures_primary,Remission at Week 10
NCT02163759,measures_secondary,Disease activity
NCT02163759,has_criteria,MCS ≤9/MCS ≥10
NCT01358175,involves,Ankylosing Spondylitis
NCT01358175,evaluates,Secukinumab
NCT01358175,measures_primary,ASAS 20 response
NCT01358175,measures_primary,ASAS 40 response
NCT01358175,measures_primary,ASAS 5/6 response
NCT01358175,measures_secondary,Change From Baseline in hsCRP
NCT01358175,measures_secondary,Change From Baseline in BASDAI
NCT02319759,involves,Psoriatic Arthritis
NCT02319759,evaluates,Guselkumab
NCT02319759,measures_primary,ACR 20 response
NCT02319759,measures_secondary,PASI-75 response
NCT02319759,has_criteria,Treatment Failure
NCT03696459,evaluates,JNJ-53718678
NCT03696459,measures_primary,Placebo-corrected change
NCT03696459,measures_secondary,Adverse Events
NCT03696459,has_criteria,Healthy Adult Participants
NCT00930059,involves,Alzheimer's Disease
NCT00930059,evaluates,PF-04447943
NCT00930059,measures_primary,Change From Baseline in ADAS-Cog 70
NCT00930059,measures_secondary,Change From Baseline in ADAS-Cog 70
NCT00930059,has_criteria,Mild To Moderate
NCT00950170,involves,Hemophilia A
NCT00950170,evaluates,ReFacto AF
NCT00950170,measures_primary,Annualized Bleeding Rate
NCT00950170,measures_secondary,Total Number of Infusions
NCT00950170,has_criteria,Previously Untreated
NCT01105975,involves,High LDL-C
NCT01105975,involves,Low HDL-C
NCT01105975,evaluates,LY2484595
NCT01105975,measures_primary,Percent Change HDL-C
NCT01105975,measures_primary,Percent Change LDL-C
NCT01105975,has_criteria,Baseline
NCT04292275,involves,Heart Failure
NCT04292275,evaluates,Remote Monitoring
NCT04292275,measures_primary,Time to change therapy
NCT04292275,measures_secondary,Health-ITUES-HCP Scores
NCT04292275,measures_secondary,Health-ITUES-Subject Scores
NCT04292275,measures_secondary,Subject Satisfaction
NCT04292275,measures_secondary,KCCQ-23 Scores
NCT04292275,has_criteria,Dose is optimal
NCT04428775,involves,ALS Disease
NCT04428775,evaluates,ALZT-OP1a
NCT04428775,measures_primary,ALS disease progression
NCT04428775,measures_secondary,pulmonary function
NCT04428775,measures_secondary,incidence adverse event
NCT04428775,has_criteria,treatment arm
NCT01768559,involves,Type 2 Diabetes
NCT01768559,evaluates,Lixisenatide
NCT01768559,evaluates,Insulin Glulisine
NCT01768559,measures_primary,Change in HbA1c
NCT01768559,measures_secondary,Change in Body Weight
NCT01768559,measures_secondary,Percentage of Participants With HbA1c Level <7% and ≤6.5% at Week 26
NCT01768559,measures_secondary,Percentage of Participants With no Weight Gain at Week 26
NCT01768559,measures_secondary,Change in Average 7-point SMPG Profiles
NCT02392559,involves,Genetic Low-Density Lipoprotein (LDL) Disorders
NCT02392559,evaluates,Proprotein Convertase Subtilisin/Kexin Type 9 (PCSK9) Inhibition
NCT02392559,measures_primary,Percent Change From Baseline to Week 24 in LDL-C
NCT02392559,measures_secondary,Percent Change From Baseline to Mean of Weeks 22 and 24 in LDL-C
NCT02392559,measures_secondary,Percent Change From Baseline to Week 24 in Non-HDL-C
NCT02392559,measures_secondary,Percent Change From Baseline to Week 24 in Apoliprotein-B (ApoB)
NCT02392559,measures_secondary,Percent Change From Baseline to Week 24 in Total Cholesterol/HDL-C Ratio
NCT02842359,involves,Type 2 Diabetes
NCT02842359,involves,Hyperlipidemia
NCT02842359,involves,Hypertension
NCT02842359,evaluates,Irbesartan/Atorvastatin
NCT02842359,measures_primary,flow mediated dilatation
NCT02842359,measures_secondary,nytrotyrosine marker
NCT02842359,measures_secondary,Intercellular Adhesion Molecule-1
NCT02842359,measures_secondary,Interleukin-6
NCT02842359,measures_secondary,C-reactive protein
NCT02842359,measures_secondary,blood pressure
NCT02842359,measures_secondary,low density lipoprotein-C
NCT02842359,measures_secondary,total cholesterol
NCT02842359,measures_secondary,high density lipoprotein-C
NCT02842359,measures_secondary,triglycerides
NCT02842359,measures_secondary,apolipoprotein-A1
NCT02842359,measures_secondary,apolipoprotein-B
NCT02842359,measures_secondary,immunosenescence T cell fractionation
NCT02842359,measures_secondary,T-cell
NCT02642159,involves,Type 2 Diabetes
NCT02642159,involves,Mixed Dyslipidemia
NCT02642159,evaluates,Alirocumab
NCT02642159,measures_primary,Percent Change Non-HDL-C
NCT02642159,measures_secondary,Percent Change LDL-C
NCT02642159,has_criteria,Maximally Tolerated Statin
NCT06263270,involves,Primary Osteoarthritis of the Knee
NCT06263270,evaluates,CYT-108
NCT06263270,measures_primary,WOMAC Scores
NCT06263270,measures_secondary,Time of Onset
NCT06263270,has_criteria,mild to moderate knee OA
NCT02632175,involves,Ulcerative Colitis
NCT02632175,evaluates,Adalimumab
NCT02632175,measures_primary,clinical remission
NCT02632175,measures_secondary,PUCAI response
NCT02632175,measures_secondary,clinical response
NCT02632175,measures_secondary,PUCAI remission
NCT02632175,measures_secondary,Full Mayo score
NCT02632175,has_criteria,available Full Mayo score data
NCT00992459,involves,Urea Cycle Disorders
NCT00992459,evaluates,HPN-100
NCT00992459,measures_primary,24-hour NH3 AUC
NCT00992459,measures_secondary,Ammonia Values
NCT00992459,has_criteria,Maximum Ammonia Values
NCT03210259,involves,Plaque Psoriasis
NCT03210259,evaluates,BI 695501
NCT03210259,measures_primary,PASI75 Response
NCT03210259,measures_secondary,AUCτ
NCT03210259,measures_secondary,Cmax
NCT03210259,measures_secondary,Cmin
NCT03210259,measures_secondary,Tmax
NCT02513459,involves,Crohn's Disease
NCT02513459,evaluates,Risankizumab
NCT02513459,measures_primary,CDAI Clinical Remission
NCT02513459,measures_secondary,CDAI Clinical Response
NCT02513459,has_criteria,CDAI score < 150
NCT06631170,involves,Atopic Dermatitis
NCT06631170,evaluates,Roflumilast Cream
NCT06631170,measures_primary,vIGA-AD success
NCT06631170,measures_secondary,WI-NRS reduction
NCT06631170,measures_secondary,EASI-75 reduction
NCT06631170,has_criteria,moderate AD severity
NCT06631170,has_criteria,WI-NRS ≥ 4 at baseline
NCT00904670,involves,Attention Deficit Hyperactivity Disorder
NCT00904670,evaluates,Quillivant Oral Suspension
NCT00904670,measures_primary,SKAMP-Combined Score
NCT00904670,measures_secondary,SKAMP Attention Subscale Score
NCT00904670,has_criteria,Hour 4 post-dose
NCT03764475,involves,Chronic Plaque Psoriasis
NCT03764475,evaluates,ARQ-151 Cream
NCT03764475,measures_primary,IGA score clear
NCT03764475,measures_secondary,Duration of Response
NCT03764475,has_criteria,Intertriginous area involvement
NCT02949375,involves,Chronic Liver Disease
NCT02949375,evaluates,GRI-0621
NCT02949375,measures_primary,Change in serum ALT
NCT02949375,measures_secondary,Change in serum AST
NCT02949375,measures_secondary,Serum CK-18 levels
NCT02949375,measures_secondary,NKT cell activity
NCT02949375,has_criteria,Elevated serum levels of ALT
NCT02065570,involves,Crohn's Disease
NCT02065570,evaluates,Two Drug Regimens
NCT02065570,measures_primary,Percentage of Participants
NCT02065570,measures_secondary,Endoscopic Response
NCT02065570,has_criteria,Treatment-Emergent Adverse Events
NCT01338870,involves,Type 2 Diabetes
NCT01338870,evaluates,PF-04991532
NCT01338870,measures_primary,Change From Baseline in HbA1c
NCT01338870,measures_secondary,Change From Baseline in Fasting Plasma Glucose
NCT01338870,measures_secondary,Percentage of Participants Achieving Less Than (<) 6.5% or <7% Glycosylated Hemoglobin (HbA1c) Levels
NCT01338870,measures_secondary,Change From Baseline in Body Weight
NCT03908970,involves,Atopic Dermatitis Syndrome
NCT03908970,evaluates,OPA-15406 Ointment
NCT03908970,measures_primary,Responder Rate IGA
NCT03908970,measures_secondary,EASI Score
NCT03908970,has_criteria,Japanese Dermatological Association's criteria
NCT01931475,involves,Chronic Pain Due to Osteoarthritis
NCT01931475,evaluates,Duloxetine
NCT01931475,measures_primary,Change From Baseline
NCT01931475,measures_secondary,Patient Global Impressions of Improvement Score
NCT01931475,measures_secondary,Western Ontario and McMaster Universities Arthritis Index Total and Subscale Scores
NCT01931475,has_criteria,Baseline
NCT01156675,involves,Lumbar Spinal Stenosis
NCT01156675,evaluates,FLEXUS(TM) Interspinous Spacer
NCT01156675,measures_primary,Zurich Claudication Questionnaire
NCT01156675,measures_secondary,Neurological status
NCT01156675,has_criteria,Successful Neurologic Status
NCT04287075,involves,Chronic Neuropathic Pain
NCT04287075,evaluates,Surgical Treatment
NCT04287075,measures_primary,Change in VAS
NCT04287075,measures_secondary,PROMIS - Pain Related Measures
NCT04287075,has_criteria,1 year
NCT04287075,has_criteria,Serious Adverse Events
NCT04617275,involves,Type 2 Diabetes Mellitus
NCT04617275,involves,Obesity
NCT04617275,evaluates,PF-06882961
NCT04617275,measures_primary,Safety
NCT04617275,measures_primary,Tolerability
NCT04617275,measures_primary,Pharmacodynamics
NCT04617275,has_criteria,Supine SBP <90 mmHg
NCT04617275,has_criteria,Supine DBP <50 mmHg
NCT04617275,has_criteria,Supine pulse rate <40 or >120 bpm
NCT04617275,has_criteria,Change from baseline SBP >=30 mmHg
NCT04617275,has_criteria,Change from baseline DBP >=20 mmHg
NCT05953012,involves,Neovascular Age-related Macular Degeneration
NCT05953012,evaluates,PMC-403
NCT05953012,measures_primary,Maximum tolerated dose
NCT05953012,measures_secondary,Adverse events
NCT05953012,has_criteria,Baseline upto 4 weeks
NCT04905212,involves,IgA nephropathy
NCT04905212,evaluates,Telitacicept
NCT04905212,measures_primary,24-hour urine protein
NCT04905212,measures_secondary,eGFR
NCT04905212,measures_secondary,UPCR
NCT04905212,measures_secondary,UACR
NCT04905212,measures_secondary,immunological parameters
NCT04905212,has_criteria,pathological biopsy
NCT04905212,has_criteria,aged ≥ 18 years
NCT04905212,has_criteria,urine total protein
NCT04905212,has_criteria,GFR > 30 mL/min
NCT04905212,has_criteria,stabilized AEI/ARB
NCT02419612,involves,Type 2 Diabetes
NCT02419612,evaluates,Saxagliptin
NCT02419612,evaluates,Dapagliflozin
NCT02419612,evaluates,Glimepiride
NCT02419612,measures_primary,Change From Baseline in HbA1c
NCT02419612,measures_secondary,Change From Baseline in Total Body Weight
NCT02419612,measures_secondary,Percentage of Subjects Achieving a Therapeutic Glycemic Response
NCT02419612,measures_secondary,Change From Baseline in Systolic Blood Pressure
NCT02419612,measures_secondary,Percentage of Subjects With Treatment Intensification
NCT02419612,has_criteria,Inadequate Glycemic Control
NCT00827112,involves,HIV-Infected Patients
NCT00827112,evaluates,Maraviroc + Ritonavir Boosted Atazanavir
NCT00827112,measures_primary,HIV-1 RNA Levels
NCT00827112,measures_secondary,TLOVR
NCT00827112,has_criteria,Treatment Naive
NCT06250946,involves,Obesity
NCT06250946,evaluates,HRS-7535 Tablets
NCT06250946,measures_primary,Percent change in body weight
NCT06250946,measures_secondary,Weight loss ≥5%
NCT06250946,has_criteria,BMI 28.0-40.0 kg/m2
NCT06250946,has_criteria,Diet and exercise control
